Ans,Expression,acc,avg_rt,condition,conditionorders,correct,correct_consent_resp,correct_response,nbackdigit,oldnew,phase,practice,response,response_age_form,response_feedback_resp,response_gender_form,response_time,subject_nr,target,test_word,total_correct,total_response_time,total_responses
NA,NA,100,22365,NA,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,NA,NA,return,NA,NA,NA,7565,30,NA,NA,1,22365,1
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,olfactory,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,devilfish,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,journeyman,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,ingrown,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,catacomb,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,outsize,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,cure,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,daiquiri,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,aspirate,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,proverb,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,complexion,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,islander,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,clatter,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,rearrange,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,redskin,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,icebreaker,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,masquerade,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,airflow,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,monarchy,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,injector,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,forgive,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,scientific,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,readout,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,regular,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,acronym,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,goodness,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,earache,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,pretender,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,midtown,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,urethane,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,edema,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,inquire,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,likely,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,lively,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,epic,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,error,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,grudge,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,queue,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,constraint,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,henhouse,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,stylish,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,utmost,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,unsalted,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,linguist,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,sanitizer,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,probing,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,scarcely,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,satisfy,NA,0,0,0
NA,NA,undefined,undefined,A,"['A', 'B', 'C', 'D']",undefined,1,NA,NA,NA,study,0,return,NA,NA,NA,16019,30,adobe,NA,0,0,0
