Spelling,Zipf,Conc,AOA,SumZipfAOA,gr
flaxseed,1.3,4.46,15.78,17.08,1
razorback,1.17,3.96,12.44,13.61,1
chairlady,1.17,4.31,12.18,13.35,1
airstream,2,3.93,12.22,14.22,2
transcribe,2.02,3.38,13.21,15.23,2
gobbler,1.65,3.88,8.94,10.59,2
backlit,2.02,3.54,13.17,15.19,2
panfry,1.39,4.27,10.57,11.96,2
mammogram,1.93,4.58,13.17,15.1,2
costumed,2.02,3.61,8.84,10.86,2
bunkhouse,1.93,4.37,10.2,12.13,2
cuticle,1.97,4.94,11.82,13.79,2
optometry,1.77,3.48,13.74,15.51,2
barkeep,1.54,4.22,14.37,15.91,2
unplugged,2.5,3.8,5.42,7.92,3
drunkard,2.45,3.77,10.72,13.17,3
legislate,3.37,2.33,11.16,14.53,3
dilate,2.2,3.46,12.95,15.15,3
responder,2.44,3.44,11.05,13.49,3
poetic,3.33,1.88,9.94,13.27,3
aquifer,2.58,4.04,13.33,15.91,3
bonsai,2.51,4.03,11.22,13.73,3
fodder,2.93,3,14,16.93,3
loophole,3.14,2.63,10.8,13.94,3
botanical,3.09,3.54,10.78,13.87,3
kidder,2.34,3.12,8.53,10.87,3
shortcut,3.07,3.2,7.22,10.29,3
uneasy,3.42,1.86,9.16,12.58,3
disprove,2.6,2.59,10.21,12.81,3
showcasing,3.01,3.62,12.12,15.13,3
lifespan,2.95,2.55,11.71,14.66,3
comforting,3.44,2.41,8.67,12.11,3
wanton,2.7,2.92,13.69,16.39,3
precaution,3.21,2.21,11.05,14.26,3
doctorate,2.73,3.4,13.78,16.51,3
screamer,2.65,3.5,7.65,10.3,3
marshy,2.63,3.55,8.56,11.19,3
slayer,3.11,3.89,11.5,14.61,3
ovary,2.51,4.18,12.26,14.77,3
dismissive,2.96,2.41,12.1,15.06,3
harass,2.57,2.67,10.84,13.41,3
earthly,3.1,2.41,9.38,12.48,3
govern,3.57,2.21,9.53,13.1,3
succulent,3.31,2.75,12.32,15.63,3
acoustic,3.39,3.28,12.39,15.78,3
gaze,3.55,3.43,9,12.55,3
evil,4.45,1.93,6.71,11.16,4
ruin,4.15,2.59,7.16,11.31,4
wherever,4.39,1.23,7.01,11.4,4
temptation,3.75,1.84,8.35,12.1,4
terror,4.06,2.43,8.79,12.85,4
instantly,3.99,2.44,7.54,11.53,4
adjust,3.74,2.93,8.43,12.17,4
matching,3.88,2.82,7.56,11.44,4
awareness,3.95,1.84,9.3,13.25,4
grammar,3.81,3.19,6.37,10.18,4
negative,4.34,1.79,7.47,11.81,4
seem,5.13,1.75,6.74,11.87,5
appreciate,4.53,2.23,8.8,13.33,5
explain,4.83,1.97,6.5,11.33,5
sheathe,1.17,3.84,14.13,15.3,1
allergist,1.3,4,12.21,13.51,1
codebook,1.17,3.88,11.23,12.4,1
gyrate,1.7,3.75,13.67,15.37,2
coagulant,1.7,3.56,14.18,15.88,2
barefaced,1.9,3.19,10.89,12.79,2
mimosa,1.93,4.62,14.88,16.81,2
immobility,1.9,3.52,12.24,14.14,2
moaner,2.06,3.26,11.9,13.96,2
headpiece,2.08,4.8,10,12.08,2
saccharin,1.87,3.62,11.92,13.79,2
peephole,2.09,4.74,9.35,11.44,2
bullhorn,1.74,4.7,10.62,12.36,2
oxblood,1.6,4.32,12.44,14.04,2
perimeter,3.23,3.46,9.63,12.86,3
dampen,3.14,3.25,10.21,13.35,3
neuter,2.24,3.11,11.12,13.36,3
reversal,3.33,2.63,8.11,11.44,3
cabling,2.61,3.39,12.44,15.05,3
vagrant,2.31,3.46,13.21,15.52,3
void,3.48,2.62,10.56,14.04,3
crux,2.98,2.69,12.11,15.09,3
gleam,2.8,3.28,11.62,14.42,3
flamboyant,3.5,2.18,12.47,15.97,3
sportswear,2.47,4.46,9.78,12.25,3
spreader,2.38,3.72,9.21,11.59,3
pectoral,2.4,4,12.89,15.29,3
beckon,2.51,3,11.11,13.62,3
impotent,2.76,2.38,14.84,17.6,3
adorn,2.77,2.38,11.65,14.42,3
insulate,2.99,2.96,11,13.99,3
elixir,2.56,4.07,11.53,14.09,3
downpour,2.83,3.71,7.33,10.16,3
wannabe,3.34,1.85,11.29,14.63,3
roomy,2.95,2.83,7.58,10.53,3
peacemaker,2.48,3,9.55,12.03,3
lockup,2.42,3.12,8.84,11.26,3
sleepless,3.39,2.68,8.45,11.84,3
evolve,3.46,1.96,10.63,14.09,3
gape,2.33,3.27,11.72,14.05,3
frailty,2.53,2.62,11.16,13.69,3
darn,3.33,3,8,11.33,3
schoolyard,2.21,4.64,5.5,7.71,3
hysterical,3.42,2.65,10.94,14.36,3
resentful,2.82,2.3,11.89,14.71,3
clicker,2.54,4.32,6.89,9.43,3
eager,3.88,1.93,8.5,12.38,4
pause,3.86,2.38,6.75,10.61,4
