Spelling,Zipf,Conc,AOA,SumZipfAOA,gr,sumMD
infancy,3.06,3.2,9.29,12.35,3,1.314404689
brittle,3.38,3.56,9.78,13.16,3,1.504404689
flyover,2.63,3.67,10.11,12.74,3,1.098217121
blunder,3.02,2.35,10.61,13.63,3,1.111782879
lineage,2.87,3.15,11.59,14.46,3,1.347014287
deflect,2.99,3.25,10.06,13.05,3,0.524404689
revisit,3.36,2.56,10,13.36,3,1.322985713
tidings,3.01,2.8,9.74,12.75,3,0.992985713
shudder,2.73,3.41,10.16,12.89,3,0.688217121
halfwit,2.3,3.04,11,13.3,3,1.315595311
walkout,2.89,3.73,11,13.89,3,1.317014287
reunite,3.15,2.86,9.44,12.59,3,1.372985713
nemesis,3.25,2.89,11.06,14.31,3,1.251782879
conceal,3.24,3.19,10.81,14.05,3,0.893201856
billing,3.18,3.54,10.89,14.07,3,1.263201856
culvert,2.36,3.67,10.33,12.69,3,1.148217121
heroism,3.07,2.67,9.55,12.62,3,1.372985713
wayside,2.84,2.75,11.41,14.25,3,1.475595311
ejector,2.66,3.67,9.86,12.52,3,1.318217121
memento,3.15,3.35,11.12,14.27,3,1.273201856
aerobic,2.43,3.14,10.24,12.67,3,0.638217121
muffled,2.81,3.04,9.06,11.87,3,1.436798144
spindly,2.63,3.46,10.71,13.34,3,1.017014287
flapper,2.76,3.9,10.47,13.23,3,1.087014287
pinhead,2.47,3.75,10.37,12.84,3,1.127014287
dynasty,3.62,2.46,10.5,14.12,3,1.491782879
rewrite,3.18,3.55,9.78,12.96,3,1.294404689
rambler,2.81,3.04,11.44,14.25,3,1.245595311
forgery,2.99,3.03,10.74,13.73,3,0.531782879
optical,3.21,2.86,10.72,13.93,3,0.901782879
robotic,3.15,3.33,10.61,13.76,3,0.743201856
spoiler,2.7,2.93,10.3,13,3,0.416798144
residue,3,3.78,10.82,13.82,3,1.253201856
keynote,2.83,2.97,11.32,14.15,3,1.175595311
confine,2.59,3.07,9.71,12.3,3,0.976798144
grating,2.96,3.07,10.71,13.67,3,0.431782879
amnesia,2.98,3.61,10.61,13.59,3,0.853201856
descent,3.55,3,9.84,13.39,3,1.232985713
fallout,3.05,2.62,10.67,13.72,3,0.931782879
sampler,2.99,3.72,10.35,13.34,3,0.713201856
unearth,3.18,3.17,11.11,14.29,3,1.113201856
whacker,2.26,3.14,11.11,13.37,3,1.467014287
weighty,3.02,2.76,10.61,13.63,3,0.701782879
etching,2.83,4.14,10.58,13.41,3,1.367014287
scumbag,3.01,3.76,11,14.01,3,1.423201856
tatters,3.2,3.09,10.47,13.67,3,0.413201856
compile,2.78,2.64,10.79,13.57,3,1.025595311
acquire,3.46,2.93,9.94,13.4,3,1.112985713
brewing,3.55,3.07,10.44,13.99,3,0.751782879
wording,3.22,2.45,10.22,13.44,3,1.072985713
lawsuit,2.81,2.94,10.56,13.37,3,0.465595311
scuffle,2.75,3.62,9.53,12.28,3,1.508217121
scuttle,2.97,3.35,10.58,13.55,3,0.553201856
sloping,3.21,3.59,10.58,13.79,3,1.033201856
eroding,2.74,3.35,10.17,12.91,3,0.608217121
swindle,2.56,2.68,11.06,13.62,3,1.475595311
preface,2.42,2.73,9.67,12.09,3,1.526798144
factual,3.2,2.41,10.25,13.45,3,1.062985713
invalid,2.97,2.48,10.5,13.47,3,0.821782879
earnest,3.27,2.24,10.22,13.49,3,1.332985713
abolish,3.42,2.19,10.42,13.84,3,1.481782879
unravel,3.36,2.59,10.16,13.52,3,1.132985713
generic,3.17,2.63,11,14.17,3,1.371782879
upstart,2.73,2.64,11,13.73,3,1.285595311
wayward,3.03,2.21,10.53,13.56,3,1.181782879
voucher,3.19,3.81,10.3,13.49,3,1.044404689
bumpkin,2.25,3.42,10.37,12.62,3,1.017014287
rickety,3.03,2.77,10.67,13.7,3,0.761782879
freebie,2.84,2.67,10.79,13.63,3,0.935595311
dweller,2.53,3.5,9.84,12.37,3,1.298217121
recluse,2.83,3.28,11.28,14.11,3,1.207014287
intrude,2.92,2.81,9.44,12.36,3,1.192985713
immerse,2.97,2.79,9.68,12.65,3,1.022985713
salvage,3.46,3.21,10.11,13.57,3,0.904404689
segment,3.21,3.4,11.11,14.32,3,1.373201856
excerpt,2.52,3.45,11,13.52,3,1.407014287
manmade,2.6,3.32,9.42,12.02,3,1.468217121
patriot,2.99,3.36,10.14,13.13,3,0.554404689
meander,2.49,2.52,10.6,13.09,3,1.245595311
appoint,3.43,2.24,10.29,13.72,3,1.422985713
angular,2.92,3.07,11.32,14.24,3,1.001782879
puberty,2.96,3.5,11.21,14.17,3,1.323201856
poacher,2.96,4,10.11,13.07,3,1.194404689
bloomer,2.65,3.68,10.61,13.26,3,1.117014287
unequal,2.97,2.72,9.26,12.23,3,1.512985713
sizable,3.18,2.7,10.11,13.29,3,0.892985713
leakage,2.87,3.44,9.58,12.45,3,1.158217121
hotline,2.94,3,10.75,13.69,3,0.521782879
stiffen,2.5,3.82,10.32,12.82,3,1.168217121
politic,2.89,2.68,10.76,13.65,3,0.845595311
refresh,3.08,2.63,10.83,13.91,3,1.111782879
gunnery,2.25,3.04,9.71,11.96,3,1.346798144
drifter,2.49,3.54,10.33,12.82,3,0.888217121
forfeit,3.37,2.63,10.4,13.77,3,0.971782879
legwork,2.55,3.19,11.2,13.75,3,1.317014287
earshot,2.39,2.96,10.48,12.87,3,0.785595311
geology,3.39,2.9,10,13.39,3,1.012985713
montage,2.97,2.93,11.53,14.5,3,1.401782879
widowed,3,3.22,10.17,13.17,3,0.394404689
dropout,2.32,3.52,10.05,12.37,3,1.318217121
handler,3.35,3.21,10.37,13.72,3,0.583201856
scholar,3.32,3.5,10.37,13.69,3,0.843201856
prelude,2.86,2.33,11.06,13.92,3,1.525595311
pervert,3.28,2.97,9.84,13.12,3,0.992985713
faculty,2.79,3.96,10.16,12.95,3,1.178217121
gourmet,3.3,3.07,9.95,13.25,3,0.802985713
abiding,3.3,2.07,10.3,13.6,3,1.452985713
compute,2.69,2.39,10.95,13.64,3,1.525595311
recycle,3.59,2.97,10.61,14.2,3,1.061782879
sopping,2.21,3.13,9.76,11.97,3,1.328217121
outback,3.17,3.56,9.89,13.06,3,1.184404689
berserk,2.92,2.35,10.89,13.81,3,1.291782879
flicker,2.99,3.59,10.2,13.19,3,0.724404689
mileage,3.29,3.47,10.22,13.51,3,0.884404689
marital,3.18,2.04,10.35,13.53,3,1.321782879
speeder,2.24,3.62,10.12,12.36,3,1.428217121
integer,2.24,3.48,10.22,12.46,3,1.188217121
mongrel,2.69,3.8,10.24,12.93,3,1.038217121
isolate,3.22,2.67,10.6,13.82,3,0.981782879
innards,2.76,3.96,9.89,12.65,3,1.478217121
furnish,2.99,3.75,10.5,13.49,3,0.893201856
bribery,3.19,2.89,10.65,13.84,3,0.781782879
pounder,2.61,3,10.76,13.37,3,0.805595311
gallant,3.1,1.92,10.28,13.38,3,1.422985713
charter,3.53,3.15,10.33,13.86,3,0.694404689
agility,3.25,2.38,10.06,13.31,3,1.332985713
capsize,2.65,3.57,10.24,12.89,3,0.848217121
pliable,2.61,3.58,10.94,13.55,3,1.387014287
charred,3.08,3.63,10.2,13.28,3,0.854404689
rupture,3.08,3.7,11.05,14.13,3,1.483201856
frontal,3.15,3.38,10.89,14.04,3,1.073201856
curdled,2.58,3.85,10,12.58,3,1.438217121
jackass,2.73,3.66,10,12.73,3,1.098217121
prodigy,3,3.04,11.63,14.63,3,1.421782879
bloated,2.98,3.36,10.72,13.7,3,0.713201856
showman,3.22,3.7,10.21,13.43,3,1.054404689
editing,3.29,3.17,10.21,13.5,3,0.594404689
dictate,3.48,3.15,10.26,13.74,3,0.714404689
stunner,2.98,3.25,11.33,14.31,3,1.213201856
defiant,3.22,2.07,10.45,13.67,3,1.431782879
shimmer,2.65,3.28,10,12.65,3,0.798217121
bubonic,2.47,2.63,10.63,13.1,3,1.185595311
rebirth,2.96,2.21,10,12.96,3,1.272985713
diocese,3.07,3.04,11.07,14.14,3,0.931782879
imagery,3.39,2.48,10.28,13.67,3,1.152985713
manhunt,2.74,3.39,9.58,12.32,3,1.238217121
stammer,3.09,2.93,9.89,12.98,3,0.792985713
growler,2.42,3.56,10.62,13.04,3,1.237014287
wrangle,2.53,3.63,10.28,12.81,3,0.988217121
algebra,2.86,3.14,11.47,14.33,3,1.227014287
quintet,2.57,4.17,10.38,12.95,3,1.457014287
inferno,3.09,3.72,10.53,13.62,3,0.993201856
webbing,2.39,4.04,10.39,12.78,3,1.517014287
bristle,2.65,3.96,10.58,13.23,3,1.367014287
starchy,2.52,3.23,10.67,13.19,3,0.857014287
reunion,3.51,3.22,10.05,13.56,3,1.024404689
crusade,3.37,2.78,10.45,13.82,3,0.871782879
zoology,2.86,3.37,10.25,13.11,3,0.428217121
distort,2.82,2.66,11.22,14.04,3,1.395595311
callous,3.02,2.44,10.84,13.86,3,1.251782879
persist,2.98,2.59,9.5,12.48,3,1.412985713
airbase,2.65,4.29,10.35,13,3,1.467014287
trilogy,3.24,3.5,10.7,13.94,3,1.093201856
ailment,2.58,2.93,10.37,12.95,3,0.515595311
conquer,3.64,2.9,10.06,13.7,3,1.202985713
migrate,3.18,3.15,9.62,12.8,3,1.054404689
bonanza,3.16,3.38,9.79,12.95,3,1.094404689
yardage,2.52,3,11.17,13.69,3,1.305595311
launder,2.33,3.18,10.12,12.45,3,0.898217121
density,3.36,2.52,10.79,14.15,3,1.461782879
oversee,3.33,2.82,11,14.33,3,1.341782879
glimmer,3.28,3.26,10.22,13.5,3,0.664404689
rampage,3.08,3.14,10.14,13.22,3,0.424404689
thermal,3.47,3.21,11.05,14.52,3,1.383201856
warpath,2.59,2.78,10.12,12.71,3,0.856798144
refrain,3.05,2.61,10.5,13.55,3,0.771782879
twitchy,2.94,3.32,9.44,12.38,3,1.164404689
inflict,3.15,2.75,10.74,13.89,3,0.971782879
coinage,2.67,3.88,10.62,13.29,3,1.307014287
pruning,3.2,3.21,10.95,14.15,3,1.013201856
imaging,3.23,2.79,10.06,13.29,3,0.902985713
washout,2.89,2.77,10.73,13.62,3,0.725595311
install,3.5,3.19,10.14,13.64,3,0.894404689
surpass,2.61,2.73,11,13.61,3,1.315595311
execute,3.42,2.76,10.22,13.64,3,0.962985713
squashy,2.53,3.04,9.86,12.39,3,0.916798144
slapper,2.94,3.23,10.33,13.27,3,0.184404689
creeper,2.6,3.48,11.12,13.72,3,1.477014287
remodel,2.5,3.41,10,12.5,3,1.078217121
blowout,2.63,3.35,9.42,12.05,3,1.468217121
gnarled,2.43,3.37,11,13.43,3,1.417014287
slender,3.22,3.56,10.11,13.33,3,1.014404689
heathen,2.59,3.04,9.67,12.26,3,1.046798144
radiant,3.08,2.45,9.68,12.76,3,1.472985713
comrade,3.04,3.69,10.38,13.42,3,0.763201856
mislead,2.99,2.41,9.65,12.64,3,1.452985713
volumes,3.5,3.03,9.58,13.08,3,1.412985713
dissect,2.73,3.21,10.11,12.84,3,0.538217121
whaling,3.05,3.68,10.26,13.31,3,0.814404689
agitate,2.36,2.93,10.17,12.53,3,0.886798144
comedic,2.74,2.44,10.94,13.68,3,1.415595311
upstage,2.54,2.55,10.58,13.12,3,1.145595311
getaway,3.35,3.11,9.5,12.85,3,1.304404689
streaky,2.84,3.48,9.39,12.23,3,1.418217121
cruiser,2.97,3.78,10.26,13.23,3,0.834404689
lowlife,2.55,3.27,10.17,12.72,3,0.718217121
nominee,2.86,3.9,11,13.86,3,1.517014287
vending,2.92,3.23,11.26,14.18,3,1.063201856
sensory,3.16,2.55,10.84,14,3,1.281782879
tumbler,2.75,4.08,10.45,13.2,3,1.257014287
twiddle,2.71,2.96,9.62,12.33,3,1.056798144
marbled,2.67,3.69,9.74,12.41,3,1.448217121
breeder,3.02,3.13,11.53,14.55,3,1.333201856
trample,2.79,3.28,9.21,12,3,1.448217121
sponsor,3.53,3.28,10.72,14.25,3,1.183201856
mastery,2.97,2.69,10.58,13.55,3,0.691782879
jittery,2.82,3.17,9,11.82,3,1.518217121
prosper,3.24,2.27,10.06,13.3,3,1.432985713
haywire,2.52,2.5,10.68,13.2,3,1.315595311
dormant,3.21,2.47,10.17,13.38,3,1.092985713
culprit,3.22,3.39,10.65,13.87,3,0.913201856
comical,3.02,2.97,9.42,12.44,3,1.152985713
discard,2.89,3.04,10.42,13.31,3,0.145595311
lawless,2.93,3.03,10.68,13.61,3,0.411782879
unarmed,3.2,3.54,10,13.2,3,1.084404689
captive,3.4,3.03,9.44,12.84,3,1.452985713
combust,2.32,3.52,10.61,12.93,3,1.287014287
stardom,3.14,2.26,10.06,13.2,3,1.342985713
smuggle,3.12,3,9.94,13.06,3,0.702985713
grapple,2.93,2.86,9.94,12.87,3,0.652985713
roundup,2.67,3.26,9.84,12.51,3,0.918217121
stealth,3.34,2.76,10.58,13.92,3,0.991782879
testify,3.33,2.67,10,13.33,3,1.182985713
hydrate,2.26,3.32,10.22,12.48,3,1.008217121
lunatic,3.38,3.27,9.83,13.21,3,1.164404689
budding,3.45,2.97,10.47,13.92,3,0.781782879
changer,2.97,3.41,11.2,14.17,3,1.233201856
parched,2.93,3.21,9.19,12.12,3,1.294404689
glacial,2.74,3.04,10.58,13.32,3,0.455595311
creamed,2.95,3,10.4,13.35,3,0.181782879
