Spelling,Zipf,Conc,AOA,SumZipfAOA,rankAll,gr
soul,4.53,1.86,6.17,10.7,-0.6339,1
unsafe,3.49,1.89,4.74,8.23,-0.0358,1
tradition,4.47,1.69,8.05,12.52,-0.1235,1
whatever,5.17,1.46,6.14,11.31,-1.6838,1
fairness,4.05,1.83,5.61,9.66,-0.3687,1
importance,4.32,1.75,6.8,11.12,-0.326,1
simple,5.07,1.62,6.89,11.96,-1.1763,1
unhappy,4.15,2.04,4.89,9.04,-0.4963,1
neither,4.54,1.64,6.74,11.28,-0.6758,1
slightly,5,1.79,8.12,13.12,-0.5304,1
such,5.5,1.48,6.42,11.92,-1.9014,1
selfish,3.93,1.92,5.26,9.19,-0.2742,1
wary,3.7,1.82,10.11,13.81,1.4563,2
slight,4.29,1.9,10.33,14.62,1.0189,2
poisonous,3.65,2.74,4.89,8.54,0.7037,2
propose,3.8,2.19,9,12.8,1.36,2
precious,4.41,2,7.57,11.98,0.0881,2
worthless,3.51,1.97,9.33,12.84,1.5389,2
adopt,3.8,2.36,7.83,11.63,1.1439,2
splendid,4.05,1.79,7.22,11.27,0.1226,2
agenda,4.34,2.66,9.95,14.29,1.6035,2
distract,3.6,2.33,8.72,12.32,1.6076,2
destiny,3.99,1.67,10.21,14.2,1.0493,2
needy,3.27,2.28,7.32,10.59,1.4256,2
retention,3.03,2.33,12.61,15.64,3.4613,3
excrete,2.25,2.89,13.11,15.36,4.9663,3
schooldays,2.66,3.14,5.84,8.5,2.4072,3
carnal,2.31,2.72,12.29,14.6,4.4657,3
stability,4.1,2.41,10.89,14.99,1.9037,3
quickie,3.01,2.67,12.75,15.76,3.8675,3
workbook,1.47,4.57,6.65,8.12,5.2945,3
drooping,2.54,3.37,8.21,10.75,3.5393,3
burlesque,2.74,3.12,14.69,17.43,5.2277,3
urinary,2.43,3.22,12.56,14.99,4.9348,3
shrinkage,2.56,3.31,10.83,13.39,4.3239,3
mulled,2.85,2.56,13.69,16.54,4.2277,3
afterbirth,2.24,4.57,14.06,16.3,6.9698,4
abrasion,2.32,4.57,11.95,14.27,6.1935,4
cyan,1.84,4.04,11.44,13.28,5.9752,4
mammogram,1.93,4.58,13.17,15.1,6.9961,4
flail,2.31,3.79,12.19,14.5,5.5027,4
jeweled,1.3,4.33,8.06,9.36,5.69,4
absinthe,2.68,4.3,16.29,18.97,6.9957,4
gunsmith,1.87,4.7,10.16,12.03,6.1828,4
aspirate,1.9,3.3,14.41,16.31,6.1553,4
thrush,2.97,3.92,15.75,18.72,6.1475,4
jambalaya,2.23,4.37,11.94,14.17,6.0802,4
houseplant,1.9,4.83,7.47,9.37,5.3951,4
chairlady,1.17,4.31,12.18,13.35,7.1594,5
canola,1.17,4.11,12.68,13.85,7.1244,5
fetus,1.39,4.62,12.72,14.11,7.4276,5
brainstem,1.81,4.6,14.28,16.09,7.5024,5
carjacker,1.3,4.52,11.83,13.13,7.1239,5
stoma,1.95,3.92,16.33,18.28,7.3589,5
endorphin,1.6,3.62,15.65,17.25,7.1845,5
dinette,1.3,4.54,12.62,13.92,7.4046,5
sidewall,1.3,4.91,11.22,12.52,7.3126,5
cockfight,1.3,4.43,12.42,13.72,7.2286,5
tendonitis,1.65,3.83,15.03,16.68,7.1399,5
schnapps,2.5,4.48,15.62,18.12,7.1346,5
otherwise,4.7,1.57,8.29,12.99,-0.3943,1
spirit,4.66,1.6,7.11,11.77,-0.7137,1
naughty,4.24,2.04,4.9,9.14,-0.583,1
boring,4.44,2.07,5.26,9.7,-0.6342,1
dumb,3.85,2.36,4.5,8.35,-0.005,1
natural,4.89,1.85,8.5,13.39,-0.235,1
wherever,4.39,1.23,7.01,11.4,-0.8467,1
gorgeous,4.72,2.25,7.68,12.4,0.0644,1
supposed,4.92,1.6,8.67,13.59,-0.4589,1
faith,4.67,1.63,7.62,12.29,-0.5254,1
perfectly,4.7,1.52,6.16,10.86,-1.1472,1
enough,5.65,1.33,6.96,12.61,-2.0232,1
valid,3.67,2.27,8.94,12.61,1.5502,2
adequate,3.71,1.97,10.35,14.06,1.6755,2
hers,3.92,2.61,4.39,8.31,0.1387,2
donate,3.76,2.88,8.2,11.96,1.826,2
cruel,4.11,2.11,7.63,11.74,0.5179,2
fairytale,3.48,2.93,4.95,8.43,1.0835,2
inner,4.12,2.86,7.94,12.06,1.3602,2
dependent,3.92,2.32,9.32,13.24,1.4756,2
unexpected,4.15,2.23,10.17,14.32,1.4361,2
condition,4.84,2.15,8.42,13.26,0.0886,2
prominent,3.84,1.87,10.17,14.01,1.3861,2
affection,3.74,2.22,8.53,12.27,1.2949,2
midlife,2.39,3.07,11.43,13.82,4.4519,3
malformed,1.87,3.23,10.89,12.76,4.9537,3
bulky,2.97,3,10.47,13.44,3.4851,3
changer,2.97,3.41,11.2,14.17,4.136,3
bereaved,3.19,2,12.05,15.24,2.7865,3
dryness,2.43,2.72,8.94,11.37,3.2402,3
