Spelling,Zipf,Conc,AOA,SumZipfAOA,rankAll,gr,sumMD
reunion,3.51,3.22,10.05,13.56,3.0265,3,1.000456149
lineage,2.87,3.15,11.59,14.46,4.1047,3,1.361586182
cruiser,2.97,3.78,10.26,13.23,4.1958,3,0.810456149
pounder,2.61,3,10.76,13.37,3.9408,3,0.829543851
heroism,3.07,2.67,9.55,12.62,2.7515,3,1.358413818
install,3.5,3.19,10.14,13.64,3.0362,3,0.870456149
gourmet,3.3,3.07,9.95,13.25,3.0535,3,0.788413818
immerse,2.97,2.79,9.68,12.65,3.0144,3,1.008413818
discard,2.89,3.04,10.42,13.31,3.5886,3,0.169543851
retreat,3.9,3.03,10.53,14.43,2.6049,3,1.263022747
unarmed,3.2,3.54,10,13.2,3.64,3,1.060456149
stagger,2.84,3.57,9.56,12.4,3.8848,3,1.306977253
showman,3.22,3.7,10.21,13.43,3.8493,3,1.030456149
memento,3.15,3.35,11.12,14.27,3.8696,3,1.295065077
forfeit,3.37,2.63,10.4,13.77,2.692,3,1.003022747
grapple,2.93,2.86,9.94,12.87,3.2102,3,0.638413818
callous,3.02,2.44,10.84,13.86,2.9972,3,1.283022747
amnesia,2.98,3.61,10.61,13.59,4.1313,3,0.875065077
heathen,2.59,3.04,9.67,12.26,3.6411,3,1.024934923
prosper,3.24,2.27,10.06,13.3,2.3498,3,1.418413818
sponsor,3.53,3.28,10.72,14.25,3.2876,3,1.205065077
consult,3.69,3.04,10.95,14.64,2.9635,3,1.463022747
earnest,3.27,2.24,10.22,13.49,2.3426,3,1.318413818
ailment,2.58,2.93,10.37,12.95,3.7721,3,0.539543851
rambler,2.81,3.04,11.44,14.25,4.0052,3,1.269543851
persist,2.98,2.59,9.5,12.48,2.745,3,1.398413818
trilogy,3.24,3.5,10.7,13.94,3.791,3,1.115065077
smuggle,3.12,3,9.94,13.06,3.1602,3,0.688413818
glacial,2.74,3.04,10.58,13.32,3.7914,3,0.479543851
agitate,2.36,2.93,10.17,12.53,3.9261,3,0.864934923
rampage,3.08,3.14,10.14,13.22,3.4062,3,0.400456149
warpath,2.59,2.78,10.12,12.71,3.5296,3,0.834934923
shimmer,2.65,3.28,10,12.65,3.93,3,0.766977253
inflict,3.15,2.75,10.74,13.89,3.1442,3,1.003022747
mastery,2.97,2.69,10.58,13.55,3.2114,3,0.723022747
lawless,2.93,3.03,10.68,13.61,3.6244,3,0.443022747
thermal,3.47,3.21,11.05,14.52,3.3865,3,1.405065077
blowout,2.63,3.35,9.42,12.05,3.8286,3,1.436977253
reunite,3.15,2.86,9.44,12.59,2.8252,3,1.358413818
inquire,2.62,2.38,10.4,13.02,3.192,3,1.079543851
washout,2.89,2.77,10.73,13.62,3.4209,3,0.749543851
roundup,2.67,3.26,9.84,12.51,3.8372,3,0.886977253
testify,3.33,2.67,10,13.33,2.64,3,1.168413818
hydrate,2.26,3.32,10.22,12.48,4.4326,3,0.976977253
conceal,3.24,3.19,10.81,14.05,3.5173,3,0.915065077
segment,3.21,3.4,11.11,14.32,3.8563,3,1.395065077
prodigy,3,3.04,11.63,14.63,3.8779,3,1.453022747
refrain,3.05,2.61,10.5,13.55,3.025,3,0.803022747
geology,3.39,2.9,10,13.39,2.81,3,0.998413818
glimmer,3.28,3.26,10.22,13.5,3.3526,3,0.640456149
editing,3.29,3.17,10.21,13.5,3.2493,3,0.570456149
sopping,2.21,3.13,9.76,11.97,4.1408,3,1.296977253
whacker,2.26,3.14,11.11,13.37,4.5463,3,1.481586182
whaling,3.05,3.68,10.26,13.31,4.0158,3,0.790456149
capsize,2.65,3.57,10.24,12.89,4.2992,3,0.816977253
billing,3.18,3.54,10.89,14.07,3.9537,3,1.285065077
spoiler,2.7,2.93,10.3,13,3.629,3,0.394934923
execute,3.42,2.76,10.22,13.64,2.7126,3,0.948413818
streaky,2.84,3.48,9.39,12.23,3.7387,3,1.386977253
contort,1.87,3.35,10.44,12.31,4.9252,3,1.411586182
bumpkin,2.25,3.42,10.37,12.62,4.5921,3,1.031586182
compact,3.78,3.04,10.79,14.57,2.8207,3,1.393022747
voucher,3.19,3.81,10.3,13.49,4.019,3,1.020456149
manmade,2.6,3.32,9.42,12.02,3.8286,3,1.436977253
culvert,2.36,3.67,10.33,12.69,4.7189,3,1.131586182
intrude,2.92,2.81,9.44,12.36,3.0052,3,1.178413818
graphic,3.7,3.2,10.67,14.37,3.0211,3,1.245065077
bribery,3.19,2.89,10.65,13.84,3.2145,3,0.813022747
halfwit,2.3,3.04,11,13.3,4.37,3,1.339543851
widowed,3,3.22,10.17,13.17,3.5761,3,0.370456149
mongrel,2.69,3.8,10.24,12.93,4.4892,3,1.006977253
lunatic,3.38,3.27,9.83,13.21,3.1339,3,1.140456149
invalid,2.97,2.48,10.5,13.47,2.975,3,0.853022747
revival,3.73,2.79,10.17,13.9,2.4161,3,1.278413818
lawsuit,2.81,2.94,10.56,13.37,3.6148,3,0.489543851
